logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	DEG_flag
-4.86403691196127	11.3854918610214	-15.8235905157192	1.82479424363153e-15	3.89684810727513e-11	24.3243698163417	NELL2	TRUE
-8.00200420596856	10.1417247518642	-15.3230704721869	4.09118525130692e-15	4.36836305208297e-11	23.6271810192464	ALDH1A2	TRUE
-4.08618641525971	12.8110097097212	-13.1952899523965	1.62391167519251e-13	1.1559544607912e-09	20.3731114073173	TXNIP	TRUE
-4.90599850901754	9.72578684225538	-11.7461363788141	2.58278971478082e-12	1.37888685897861e-08	17.8568595267659	AOX1	TRUE
-4.29389584288077	10.0875394217896	-11.6124361378543	3.37312930058547e-12	1.44066352428006e-08	17.6112716786928	AQP9	TRUE
-6.65453773000744	7.47414829619457	-11.4970531901812	4.25416470813182e-12	1.51412812236925e-08	17.3974325271032	PEX5L	TRUE
-7.32417406088223	10.5201304180402	-11.2812288856525	6.59390232906972e-12	2.01161120338977e-08	16.9926781898663	ITLN1	TRUE
-4.96720795488592	11.7371703762878	-10.7008918431734	2.20250329872635e-11	5.67353554853272e-08	15.8729236502591	EFEMP1	TRUE
5.85631313818606	8.36705685398084	10.6620630697414	2.39109435433362e-11	5.67353554853272e-08	15.7963436344758	SSPN-AS1	TRUE
-5.88106707794461	9.49196496939087	-10.4781120749119	3.5378010842253e-11	7.07269097719798e-08	15.4306753852516	REEP1	TRUE
-3.63476051146459	11.3520850929032	-10.4644120293698	3.64315620459742e-11	7.07269097719798e-08	15.4032511996763	DPYD	TRUE
-4.59918334030715	9.63265921151822	-10.318096839838	4.99141303483442e-11	8.88263544657408e-08	15.1087076818419	SLC4A4	TRUE
5.11917688976081	8.13416035798324	10.2163856235789	6.2226031974498e-11	1.02218224062723e-07	14.9021641014115	SPON1	TRUE
3.9044514918587	8.80767177738339	10.0915683608143	8.17053089368253e-11	1.23424127507591e-07	14.646680965083	CENPF	TRUE
-3.18563413660241	13.0407849094013	-10.064523536039	8.66945405110682e-11	1.23424127507591e-07	14.591029866226	TMT1A	TRUE
-4.71221541358107	10.187234198366	-9.89125525526128	1.27020586962307e-10	1.69532789661254e-07	14.2319931249208	PWWP3B	TRUE
-3.18640054191178	10.805899643028	-9.66813005112634	2.08910853316135e-10	2.5153374983519e-07	13.7632535219654	MTUS1	TRUE
-3.74992337701804	10.1144177907097	-9.66155696707034	2.12016272396789e-10	2.5153374983519e-07	13.7493352720464	RERG	TRUE
-4.26894378373223	11.7608611440474	-9.58114311819598	2.54075756954903e-10	2.77709824041272e-07	13.578553043501	FAM153B	TRUE
-5.93037063045459	8.62953666797812	-9.55302276801381	2.70728180145334e-10	2.77709824041272e-07	13.5186089883388	WNT2B	TRUE
5.00959118630114	11.5721754261365	9.54917344886608	2.73093247710921e-10	2.77709824041272e-07	13.5103944366378	MUC1	TRUE
3.42287420043619	9.43083682821704	9.51233251180142	2.96829443346052e-10	2.88126943757043e-07	13.4316655406474	OVOS2P	TRUE
-7.10951986781594	8.89257902534817	-9.46836475253647	3.27948598784488e-10	3.04493144654033e-07	13.3374473760464	BNC1	TRUE
