logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	DEG_flag
-8.17544994668615	9.23745730289136	-18.0467657189729	3.67607652588221e-19	6.15615481236163e-15	32.4599902322465	ALDH1A2	TRUE
-4.86006568555982	10.9014709056662	-17.7889309466757	5.76553951052365e-19	6.15615481236163e-15	32.0658301869079	NELL2	TRUE
-4.37877495936498	9.60722155630615	-12.8250301477131	1.08045506206156e-14	7.69103928344156e-11	23.1344183014498	AQP9	TRUE
-7.10663731577909	9.91823440100624	-12.651483869658	1.59615283984479e-14	8.52146097372136e-11	22.7698025141745	ITLN1	TRUE
-6.1024648905523	8.77101904174841	-12.5285306230333	2.10894386236697e-14	9.00729923616934e-11	22.5090910982647	REEP1	TRUE
-6.39028514914119	6.96724595387297	-11.8644552024634	9.79696189356832e-14	3.48690202061919e-10	21.0661132023761	PEX5L	TRUE
-4.55018121436202	9.44867704396543	-11.6837977052983	1.50170049951335e-13	4.58125916672966e-10	20.6632131620751	AOX1	TRUE
-4.91120191630124	11.2740516387584	-11.4775154485213	2.45773205701777e-13	6.56060850970182e-10	20.1976652010597	EFEMP1	TRUE
4.96154923483294	8.55150088800933	11.4078191751777	2.90632146828974e-13	6.89605499503637e-10	20.0390374472042	SPON1	TRUE
-4.40470522264772	12.2112804126088	-11.2823994836872	3.93579926156512e-13	8.40489932307231e-10	19.7518782315767	TXNIP	TRUE
3.36449787310533	9.73809862022703	10.9347698972031	9.21646505336299e-13	1.7213323978751e-09	18.94441502537	OVOS2P	TRUE
-3.31620516761287	12.6438780975798	-10.9083311183981	9.83881554542522e-13	1.7213323978751e-09	18.8823064293068	TMT1A	TRUE
3.93444657314709	9.21598739673244	10.868933091378	1.0846845712302e-12	1.7213323978751e-09	18.7895710095839	CENPF	TRUE
3.27462653965126	8.61211393494102	10.8529684739514	1.12847827535712e-12	1.7213323978751e-09	18.7519307362904	DTL	TRUE
-4.71511894794212	8.19126348699761	-10.8217665972899	1.21935610976892e-12	1.73595664827436e-09	18.6782607648926	MMP28	TRUE
3.54377241881435	10.2931486172122	10.7458918317771	1.47283705187019e-12	1.965777202668e-09	18.4985381766709	CDCA3	TRUE
-3.70131283449235	11.3586549338438	-10.5923484127396	2.16336030835103e-12	2.71756231675508e-09	18.1323391577808	CELF2	TRUE
-3.69171113365027	10.9544398342724	-10.5487976015346	2.41396065894463e-12	2.86389610398681e-09	18.0278596103411	DPYD	TRUE
4.59754285181497	6.77650739004898	10.4575634781474	3.03945632722575e-12	3.4161889404161e-09	17.8081091372997	MCM10	TRUE
3.03921853888585	7.93349012015483	10.2429993101971	5.24786129630439e-12	5.54779710212214e-09	17.2866118759011	PTTG3P	TRUE
-4.1703877476736	11.3931006299565	-10.227838364918	5.45557195713252e-12	5.54779710212214e-09	17.2495141189533	FAM153B	TRUE
-3.08351127303007	9.69989486628032	-10.2037745451791	5.80262304784284e-12	5.63250069030381e-09	17.1905640991602	EMB	TRUE
-4.36649005185267	9.92344712843377	-10.0541708915815	8.52857147557457e-12	7.91859321134326e-09	16.822214550203	PWWP3B	TRUE
-3.44269451337133	12.0903068007995	-10.0337755717198	8.99033671420665e-12	7.99952668882846e-09	16.7717495852576	GSDME	TRUE
3.53866679178781	8.32000992990228	9.96974761186245	1.06125411770919e-11	8.40152285920796e-09	16.6129356663496	KIF20A	TRUE
3.92178264803329	8.037342039416	9.96228028864826	1.08202347763696e-11	8.40152285920796e-09	16.5943756257623	IQGAP3	TRUE
